CODIGO,poblacion_estudio,nbs,umbral,moderada,indigente,marginal,nbs_porcentaje,umbral_porcentaje,moderada_porcentaje,marginal_porcentaje,indigente_porcentaje,pobre,pobre_porcentaje,no_pobre,no_pobre_porcentaje,año,DEPARTAMENTO,PROVINCIA,MUNICIPIO
020401,11159,426,1149,4997,4310,277,3.817546,10.296622,44.779998,2.482301,38.623533,9584,85.885832063805,1575,14.114167936194999,2012,LA PAZ,CAMACHO,PUERTO ACOSTA
020401,12897,83,423,2608,8003,1780,0.6435605179499108,3.279832519190509,20.221756997751413,13.801659300612545,62.05319066449562,12391,96.07660696285959,506,3.923393037140414,2001,LA PAZ,CAMACHO,PUERTO ACOSTA
020402,17047,22,132,1585,13102,2206,0.1290549656831114,0.7743297940986684,9.2978236639878,12.940693377133808,76.85809819909662,16893,99.09661524021823,154,0.9033847597817726,2001,LA PAZ,CAMACHO,MOCOMOCO
020402,15390,348,1048,7630,6094,270,2.261209,6.809617,49.577648,1.754386,39.597141,13994,90.92917478882391,1396,9.070825211176087,2012,LA PAZ,CAMACHO,MOCOMOCO
020403,14382,130,535,4585,8543,589,0.9039076623557225,3.719927687387012,31.880127937699903,4.09539702405785,59.40063968849951,13717,95.37616465025727,665,4.623835349742734,2001,LA PAZ,CAMACHO,PUERTO CARABUCO
020403,14252,613,1293,7778,4444,124,4.301151,9.072411,54.574797,0.870053,31.181589,12346,86.62643839461128,1906,13.373561605388717,2012,LA PAZ,CAMACHO,PUERTO CARABUCO
020404,5551,1,16,254,4188,1092,0.01801477211313277,0.2882363538101243,4.575752116735724,19.672131147540984,75.44586560980004,5534,99.69374887407673,17,0.30625112592326786,2001,LA PAZ,CAMACHO,HUMANATA
020404,5272,24,238,2622,2309,79,0.455235,4.514416,49.734446,1.498483,43.79742,5010,95.03034901365706,262,4.969650986342944,2012,LA PAZ,CAMACHO,HUMANATA
020405,7095,290,879,4096,1778,52,4.087385,12.389006,57.730796,0.732911,25.059901,5926,83.52360817477097,1169,16.476391825229033,2012,LA PAZ,CAMACHO,ESCOMA
020405,7115,27,247,2046,4470,325,0.37947997189037247,3.471539002108222,28.756148981026,4.567814476458187,62.82501756851722,6841,96.1489810260014,274,3.851018973998606,2001,LA PAZ,CAMACHO,ESCOMA
020501,12535,24,117,1335,9906,1153,0.19146390107698447,0.9333865177502991,10.65017949740726,9.198244914240128,79.02672516952532,12394,98.87514958117272,141,1.124850418827279,2001,LA PAZ,MUÑECAS,CHUMA
020501,11370,395,1211,6992,2679,93,3.474055,10.650836,61.495163,0.817942,23.562005,9764,85.87510993843448,1606,14.124890061565523,2012,LA PAZ,MUÑECAS,CHUMA
020502,8065,0,13,148,4741,3163,0,0.1611903285802852,1.8350898946063237,39.21884686918785,58.78487290762554,8052,99.83880967141971,13,0.1611903285802896,2001,LA PAZ,MUÑECAS,AYATA
020502,8178,236,596,5012,2238,96,2.885791,7.287845,61.286378,1.173881,27.366104,7346,89.82636341403766,832,10.173636585962338,2012,LA PAZ,MUÑECAS,AYATA
020503,4032,2,5,212,2604,1209,0.0496031746031746,0.1240079365079365,5.257936507936508,29.985119047619047,64.58333333333334,4025,99.82638888888889,7,0.17361111111111427,2001,LA PAZ,MUÑECAS,AUCAPATA
020503,5369,161,395,3283,1475,55,2.998696,7.35705,61.147327,1.024399,27.472527,4813,89.64425405103371,556,10.355745948966288,2012,LA PAZ,MUÑECAS,AUCAPATA
020601,18561,39,601,5430,11685,806,0.2101179893324713,3.2379720920209043,29.254889283982543,4.342438446204407,62.954582188459675,17921,96.55190991864663,640,3.448090081353371,2001,LA PAZ,LARECAJA,SORATA
020601,23158,991,3571,11950,6382,264,4.279299,15.420157,51.602038,1.139995,27.558511,18596,80.30054408843597,4562,19.699455911564037,2012,LA PAZ,LARECAJA,SORATA
020602,14255,731,3910,6828,2487,299,5.128025,27.428972,47.898983,2.09751,17.44651,9614,67.44300245527884,4641,32.55699754472115,2012,LA PAZ,LARECAJA,GUANAY
020602,11087,189,1858,5446,2873,721,1.70469919725805,16.758365653468026,49.12059168395418,6.503111752502931,25.913231712816813,9040,81.53693514927393,2047,18.46306485072607,2001,LA PAZ,LARECAJA,GUANAY
020603,7804,220,1325,4610,1573,76,2.819067,16.978473,59.072271,0.97386,20.15633,6259,80.20246027678114,1545,19.79753972321886,2012,LA PAZ,LARECAJA,TACACOMA
020603,6113,27,265,2124,3279,418,0.4416816620317356,4.335023719941109,34.745624079829874,6.837886471454278,53.639784066743005,5821,95.22329461802715,292,4.776705381972846,2001,LA PAZ,LARECAJA,TACACOMA
020604,2544,2,18,172,1931,421,0.07861635220125787,0.7075471698113208,6.761006289308176,16.54874213836478,75.90408805031447,2524,99.21383647798741,20,0.7861635220125862,2001,LA PAZ,LARECAJA,QUIABAYA
020604,2598,141,318,1481,637,21,5.427252,12.240185,57.005389,0.808314,24.518861,2139,82.33256351039262,459,17.66743648960739,2012,LA PAZ,LARECAJA,QUIABAYA
020605,2635,1,9,482,2093,50,0.03795066413662239,0.3415559772296015,18.292220113851993,1.8975332068311195,79.43074003795067,2625,99.62049335863378,10,0.3795066413662198,2001,LA PAZ,LARECAJA,COMBAYA
020605,3668,112,518,2383,650,5,3.053435,14.122137,64.967285,0.136314,17.720829,3038,82.82442748091603,630,17.17557251908397,2012,LA PAZ,LARECAJA,COMBAYA
020606,9673,823,3311,4890,628,21,8.508219,34.229298,50.553086,0.217099,6.492298,5539,57.262483200661634,4134,42.737516799338366,2012,LA PAZ,LARECAJA,TIPUANI
020606,8990,176,2224,5934,656,0,1.957730812013348,24.738598442714128,66.00667408231368,0,7.296996662958843,6590,73.30367074527253,2400,26.696329254727473,2001,LA PAZ,LARECAJA,TIPUANI
020607,13051,563,3374,8252,849,13,4.313846,25.852425,63.228871,0.099609,6.505249,9114,69.83372921615202,3937,30.16627078384798,2012,LA PAZ,LARECAJA,MAPIRI
020607,9500,22,622,5539,3229,88,0.23157894736842108,6.547368421052631,58.305263157894736,0.9263157894736843,33.98947368421052,8856,93.22105263157894,644,6.778947368421058,2001,LA PAZ,LARECAJA,MAPIRI
020608,7018,108,708,2491,3486,225,1.5388999715018523,10.088344257623255,35.49444286121402,3.2060416072955262,49.672271302365345,6202,88.37275577087489,816,11.627244229125111,2001,LA PAZ,LARECAJA,TEOPONTE
020608,8888,279,1651,5052,1826,80,3.139064,18.575608,56.840684,0.90009,20.544554,6958,78.28532853285328,1930,21.714671467146715,2012,LA PAZ,LARECAJA,TEOPONTE
020701,12768,10,229,1532,7765,3232,0.07832080200501253,1.793546365914787,11.99874686716792,25.31328320802005,60.816102756892235,12529,98.12813283208021,239,1.8718671679197882,2001,LA PAZ,FRANZ TAMAYO,APOLO
